HIL_SENSOR: t=14016000 accX=6.94 accZ=-6.94 baro=0.00 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=14024000 accX=6.94 accZ=-6.94 baro=0.00 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14032000 accX=6.94 accZ=-6.94 baro=0.00 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=14040000 accX=6.94 accZ=-6.94 baro=0.00 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14048000 accX=6.94 accZ=-6.94 baro=0.00 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=14056000 accX=6.94 accZ=-6.94 baro=0.00 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14064000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=7743
HIL_SENSOR: t=14072000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14080000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=14088000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14096000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=14104000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14112000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=14120000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=8191
HIL_SENSOR: t=14128000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=14136000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14144000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=14152000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14160000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=14168000 accX=6.94 accZ=-6.94 baro=-0.06 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14176000 accX=6.94 accZ=-6.94 baro=-0.05 altGps=0.00 velDGps=0, fields_updated=7743
HIL_SENSOR: t=14184000 accX=6.94 accZ=-6.94 baro=-0.05 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14192000 accX=6.94 accZ=-6.94 baro=-0.05 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=14200000 accX=6.94 accZ=-6.94 baro=-0.05 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=14208000 accX=6.94 accZ=-6.94 baro=-0.05 altGps=0.00 velDGps=0, fields_updated=1087


HIL_SENSOR: t=6228000 accX=6.94 accZ=-6.94 baro=-0.03 altGps=0.00 velDGps=0, fields_updated=7743
HIL_SENSOR: t=6236000 accX=6.94 accZ=-6.94 baro=-0.03 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=6244000 accX=6.94 accZ=-6.94 baro=-0.03 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=6252000 accX=6.94 accZ=-6.94 baro=-0.03 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=6260000 accX=6.94 accZ=-6.94 baro=-0.03 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=6268000 accX=6.94 accZ=-6.94 baro=-0.03 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=6276000 accX=6.94 accZ=-6.94 baro=-0.03 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=6284000 accX=6.94 accZ=-6.94 baro=-0.10 altGps=0.00 velDGps=0, fields_updated=8191
HIL_SENSOR: t=6292000 accX=6.94 accZ=-6.94 baro=-0.10 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=6300000 accX=6.94 accZ=-6.94 baro=-0.10 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=6308000 accX=6.94 accZ=-6.94 baro=-0.10 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=6316000 accX=6.94 accZ=-6.94 baro=-0.10 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=6324000 accX=6.94 accZ=-6.94 baro=-0.10 altGps=0.00 velDGps=0, fields_updated=1087
HIL_SENSOR: t=6332000 accX=6.94 accZ=-6.94 baro=-0.10 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=6340000 accX=6.94 accZ=-6.94 baro=-0.13 altGps=0.00 velDGps=0, fields_updated=7743
HIL_SENSOR: t=6348000 accX=6.94 accZ=-6.94 baro=-0.13 altGps=0.00 velDGps=0, fields_updated=1535
HIL_SENSOR: t=6356000 accX=6.94 accZ=-6.94 baro=-0.13 altGps=0.00 velDGps=0, fields_updated=1087
