alpha,beta,mach,reynolds,delta21,delta22,cf_cl,cf_cd,cf_x,cf_y,cf_z,cf_xp,cf_yp,cf_yr,cf_zq,cf_zad,cm_x,cm_y,cm_z,cm_yad,cm_zad,cm_zr
-30.0,-30.0,0.3,6904000.0,-30.0,-30.0,-1.861,1.148,0.064,0.131,-2.186,-0.005,-0.0,-0.02,-0.096,0.4,0.183,3.759,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-30.0,-1.593,0.727,0.063,0.129,-1.75,0.001,0.0,-0.02,-0.089,0.4,0.185,2.994,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-30.0,-1.273,0.455,0.11,0.126,-1.348,-0.021,0.0,-0.02,-0.103,0.4,0.255,1.946,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-30.0,-0.628,1.4,1.306,0.123,-0.805,-0.018,-0.0,-0.02,-0.055,0.4,0.298,0.821,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,-30.0,-0.0,1.869,1.869,0.123,-0.0,0.0,-0.0,-0.02,0.024,0.4,0.396,0.0,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,-30.0,0.6,1.412,1.321,0.123,0.779,-0.017,0.0,-0.02,0.104,0.4,0.433,-0.689,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,-30.0,1.217,0.465,0.134,0.126,1.295,-0.024,0.0,-0.02,0.158,0.4,0.385,-1.683,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,-30.0,1.543,0.727,0.082,0.129,1.704,-0.006,-0.0,-0.02,0.159,0.4,0.369,-2.764,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,-30.0,1.832,1.144,0.075,0.131,2.159,-0.005,0.0,-0.02,0.136,0.4,0.348,-3.621,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,-25.0,-1.87,1.156,0.066,0.131,-2.198,-0.004,-0.0,-0.02,-0.096,0.4,0.17,3.819,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-25.0,-1.603,0.733,0.064,0.129,-1.761,0.002,0.0,-0.02,-0.089,0.4,0.174,3.052,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-25.0,-1.293,0.458,0.108,0.126,-1.367,-0.019,0.0,-0.02,-0.098,0.4,0.235,2.045,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-25.0,-0.647,1.398,1.301,0.123,-0.824,-0.017,-0.0,-0.02,-0.056,0.4,0.278,0.916,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,-25.0,-0.01,1.864,1.864,0.123,-0.01,0.0,-0.0,-0.02,0.024,0.4,0.386,0.052,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,-25.0,0.591,1.405,1.316,0.123,0.769,-0.018,0.0,-0.02,0.103,0.4,0.424,-0.638,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,-25.0,1.208,0.455,0.127,0.126,1.285,-0.025,0.0,-0.02,0.159,0.4,0.375,-1.63,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,-25.0,1.538,0.716,0.073,0.129,1.695,-0.007,-0.0,-0.02,0.161,0.4,0.361,-2.718,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,-25.0,1.832,1.133,0.066,0.131,2.153,-0.005,0.0,-0.02,0.138,0.4,0.343,-3.592,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,-20.0,-1.875,1.16,0.067,0.131,-2.203,-0.003,-0.0,-0.02,-0.096,0.4,0.165,3.846,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-20.0,-1.607,0.736,0.065,0.129,-1.766,0.002,0.0,-0.02,-0.09,0.4,0.169,3.076,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-20.0,-1.302,0.459,0.107,0.126,-1.376,-0.018,0.0,-0.02,-0.096,0.4,0.226,2.09,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-20.0,-0.656,1.397,1.299,0.123,-0.833,-0.017,-0.0,-0.02,-0.056,0.4,0.27,0.958,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,-20.0,-0.015,1.862,1.862,0.123,-0.015,0.0,-0.0,-0.02,0.024,0.4,0.381,0.077,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,-20.0,0.587,1.402,1.313,0.123,0.765,-0.018,0.0,-0.02,0.102,0.4,0.421,-0.617,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,-20.0,1.204,0.451,0.124,0.126,1.28,-0.025,0.0,-0.02,0.159,0.4,0.371,-1.606,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,-20.0,1.535,0.712,0.07,0.129,1.691,-0.007,-0.0,-0.02,0.162,0.4,0.357,-2.697,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,-20.0,1.831,1.128,0.062,0.131,2.15,-0.005,0.0,-0.02,0.139,0.4,0.34,-3.578,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,-15.0,-1.888,1.172,0.071,0.131,-2.222,-0.001,-0.0,-0.02,-0.096,0.4,0.146,3.938,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-15.0,-1.619,0.744,0.068,0.129,-1.78,0.003,0.0,-0.02,-0.093,0.4,0.155,3.148,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-15.0,-1.33,0.465,0.105,0.126,-1.405,-0.015,0.0,-0.02,-0.086,0.4,0.197,2.233,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-15.0,-0.684,1.395,1.294,0.123,-0.86,-0.016,-0.0,-0.02,-0.056,0.4,0.241,1.097,-0.073,0.0,0.4,-0.559
0.0,-30.0,0.3,6904000.0,-30.0,-15.0,-0.034,1.856,1.856,0.123,-0.034,0.0,-0.0,-0.02,0.024,0.4,0.362,0.169,-0.068,0.0,0.4,-0.559
7.5,-30.0,0.3,6904000.0,-30.0,-15.0,0.575,1.393,1.306,0.123,0.752,-0.019,0.0,-0.02,0.1,0.4,0.41,-0.551,-0.073,0.0,0.4,-0.559
15.0,-30.0,0.3,6904000.0,-30.0,-15.0,1.191,0.437,0.114,0.126,1.264,-0.026,0.0,-0.02,0.16,0.4,0.357,-1.524,-0.085,0.0,0.4,-0.559
22.5,-30.0,0.3,6904000.0,-30.0,-15.0,1.526,0.696,0.059,0.129,1.676,-0.008,-0.0,-0.02,0.166,0.4,0.345,-2.624,-0.103,0.0,0.4,-0.559
30.0,-30.0,0.3,6904000.0,-30.0,-15.0,1.829,1.113,0.049,0.131,2.14,-0.006,0.0,-0.02,0.142,0.4,0.33,-3.528,-0.124,0.0,0.4,-0.559
-30.0,-30.0,0.3,6904000.0,-30.0,-10.0,-1.915,1.199,0.081,0.131,-2.258,0.002,-0.0,-0.02,-0.094,0.4,0.107,4.121,-0.124,0.0,0.4,-0.559
-22.5,-30.0,0.3,6904000.0,-30.0,-10.0,-1.642,0.762,0.076,0.129,-1.808,0.004,0.0,-0.02,-0.101,0.4,0.129,3.288,-0.103,0.0,0.4,-0.559
-15.0,-30.0,0.3,6904000.0,-30.0,-10.0,-1.375,0.479,0.106,0.126,-1.452,-0.01,0.0,-0.02,-0.07,0.4,0.149,2.47,-0.085,0.0,0.4,-0.559
-7.5,-30.0,0.3,6904000.0,-30.0,-10.0,-0.74,1.396,1.287,0.123,-0.916,-0.013,-0.0,-0.02,-0.057,0.4,0.184,1.378,-0.073,0.0,0.4,-0.559
