u,alpha,beta,Cd,Cs,Cl,CmRoll,CmPitch,CmYaw
45.0,-30.0,0.0,-0.11019952,-0.011062617,0.53219359,-0.0048738743,0.15315162,0.0016646577999999998
45.0,-30.0,5.0,-0.11648027999999999,-0.064246337,0.52566932,0.0009679365400000001,0.14517392,0.023693105
45.0,-30.0,10.0,-0.10758372000000001,-0.11906695,0.51897518,-0.00455715747,0.13142625,0.041186838
45.0,-30.0,15.0,-0.09678124299999999,-0.16605309,0.51400071,0.0007258196600000001,0.12301046,0.063787565
45.0,-30.0,20.0,-0.099761448,-0.21642163,0.53208001,0.0009795286000000001,0.12154614999999999,0.051207536
45.0,-24.0,0.0,-0.13015612999999998,-0.0050450799,0.40830526999999994,0.0044313113,0.08394914,-0.0082202137
45.0,-24.0,5.0,-0.13378406,-0.056419688999999995,0.39963669,-0.007686650200000001,0.078183296,0.0086707055
45.0,-24.0,10.0,-0.13177065,-0.10461992,0.40409225,-0.0050133997,0.08520459,0.016153769000000002
45.0,-24.0,15.0,-0.12286211,-0.14440759,0.42681116999999996,0.0142675309,0.09031143999999999,-0.0031722459600000003
45.0,-24.0,20.0,-0.10984558,-0.19491725,0.44488243,0.0134752068,0.10755864,0.031720481
45.0,-19.0,0.0,-0.13077465,-0.0042593973,0.33782608000000003,0.0142293781,0.055694531000000005,-0.0025047959
45.0,-19.0,5.0,-0.13146422,-0.040690886999999995,0.34510926,0.0518425593,0.06838047,-0.016041224
45.0,-19.0,10.0,-0.1306747,-0.082876338,0.32557242,-0.015188192,0.065114703,-0.015592949
45.0,-19.0,15.0,-0.12049293000000001,-0.12521421,0.37983142000000003,0.06557921956,0.08491974399999999,-0.0064313219
45.0,-19.0,20.0,-0.10827887,-0.16988368,0.39049212,-0.0076310111,0.079970889,-0.019167722
45.0,-15.0,0.0,-0.13204346,0.00063209916,0.25756753,0.0302947639,0.053725366,0.0047024404
45.0,-15.0,5.0,-0.12863843,-0.033802984,0.28297284,0.057572991,0.054599191000000005,-0.014245271
45.0,-13.0,0.0,-0.13204602999999998,-0.00103879292,0.2215694,0.015049874299999998,0.041175581,0.0065519143
45.0,-13.0,5.0,-0.13062202,-0.030570875000000004,0.20650346000000003,0.0037603059,0.033641847,-0.014755457
45.0,-13.0,10.0,-0.12488703999999999,-0.068297626,0.27761247,0.0225062576,0.073594687,-0.027980287
45.0,-13.0,15.0,-0.11877251,-0.10474227,0.28152438,0.0067332916999999996,0.068276482,-0.033089103
45.0,-13.0,20.0,-0.11590207999999999,-0.15433776999999999,0.2793701,-0.06310521,0.07637834,-0.013360363
45.0,-8.0,0.0,-0.1263433,0.0027265881,0.10328662,0.02076567,0.014218601,0.014098744
45.0,-8.0,5.0,-0.12533235,-0.021527872,0.10317205,-0.0072672838000000005,0.016173612,-0.01426211
45.0,-8.0,10.0,-0.12385025000000001,-0.054121942,0.1098358,-0.022545587,0.029160901,-0.027700656
45.0,-8.0,15.0,-0.12105294,-0.094866247,0.14143922,-0.063747976,0.045882881,-0.031884185999999995
45.0,-8.0,20.0,-0.11844646,-0.13927618,0.16034452,-0.093195956,0.057861010000000004,-0.030873577000000003
45.0,-2.0,0.0,-0.11634073,0.0018451651999999998,-0.03924375,-0.0020570432,-0.016927433999999998,-0.0038740906
45.0,-2.0,5.0,-0.11607782,-0.02095044,-0.032569097,-0.038806468999999996,-0.010571735,-0.033424841999999996
45.0,-2.0,10.0,-0.11640410999999999,-0.055208767000000006,-0.016945948,-0.072179892,0.0084309392,-0.038830981
45.0,-2.0,15.0,-0.11952073999999999,-0.090827723,-0.011143797,-0.09789557800000001,0.013086477,-0.03928233
45.0,-2.0,20.0,-0.1183445,-0.1325853,-0.0019690307,-0.12020116,0.022931736,-0.037814521000000004
45.0,2.0,0.0,-0.10976617,-0.001867648,-0.19591027,0.0028327632,-0.035196139,-0.0052312643
45.0,2.0,5.0,-0.11158539,-0.028967078,-0.19002097,-0.032794796,-0.026463007,-0.027656518
45.0,2.0,10.0,-0.11267416999999999,-0.062601119,-0.1786216,-0.06814178600000001,-0.020757364,-0.03973874
45.0,2.0,15.0,-0.11348799999999999,-0.09977847100000001,-0.16050933,-0.10435563,-0.0088247277,-0.047787210000000004
45.0,2.0,20.0,-0.11296244,-0.14232055000000002,-0.14653269,-0.1386656,-0.0047321645,-0.04905697
45.0,8.0,0.0,-0.10057149000000001,-0.0020896224,-0.31120233,0.031143190999999997,-0.039349697,-0.0043855075
45.0,8.0,5.0,-0.099368186,-0.036270977999999995,-0.32634635,-0.00864489461,-0.039278003,-0.022886372999999998
45.0,8.0,10.0,-0.097965507,-0.072806137,-0.32206087,-0.029264635,-0.039708903000000004,-0.028648229000000004
45.0,8.0,15.0,-0.10510974,-0.11365619,-0.31110233,-0.071537487,-0.048612517,-0.034451151
45.0,8.0,20.0,-0.10338023999999998,-0.16277527,-0.29938227,-0.12166186000000001,-0.037553236000000004,-0.033534479
45.0,13.0,0.0,-0.10517169,-0.003493172,-0.42179722999999997,0.06169289600000001,-0.067080893,-0.0055546799
45.0,13.0,5.0,-0.10854759,-0.045324728999999994,-0.38789389,0.019426699999999998,-0.048616243999999996,-0.016105323999999997
45.0,13.0,10.0,-0.10588492000000001,-0.08318125800000001,-0.41513126,0.0052573285,-0.05757806,-0.022482755
45.0,13.0,15.0,-0.10298201700000001,-0.13301955000000001,-0.42826833999999997,-0.034919657,-0.070445518,-0.016538133
45.0,13.0,20.0,-0.10099207800000001,-0.18574465,-0.43019410999999996,-0.054644551,-0.07399465000000001,-0.0091126109
45.0,19.0,0.0,-0.10976181,-0.012911187699999998,-0.47774406999999997,0.033390180199999994,-0.052052235,0.013741171
45.0,19.0,5.0,-0.12317244999999999,-0.060875369,-0.50004089,-0.005405039799999999,-0.08024103,-0.0034558314
45.0,19.0,10.0,-0.11506816,-0.10643971999999999,-0.51513542,0.0012122761999999996,-0.090986135,-0.021153954
45.0,19.0,15.0,-0.09962518299999999,-0.15710355,-0.52511478,-0.065208186,-0.10347650800000001,-0.0140520128
45.0,19.0,20.0,-0.101911401,-0.2122314,-0.5254543899999999,-0.084617343,-0.1272684,-0.0044838785
45.0,24.0,0.0,-0.12144722999999999,-0.019146376,-0.61517201,0.028020751,-0.13042043,0.023775113
45.0,24.0,5.0,-0.11913263,-0.075160373,-0.6311443800000001,0.0361105314,-0.12483918999999999,0.00066756227
45.0,24.0,10.0,-0.10945418,-0.13815269000000002,-0.5979132500000001,-0.0143776768,-0.11597063599999999,0.015411399000000001
45.0,24.0,15.0,-0.102763494,-0.18646031000000002,-0.6203755400000001,-0.033897562,-0.14782335,0.013104542
45.0,24.0,20.0,-0.101724228,-0.24197237,-0.58642132,-0.128978791,-0.15171809,0.012466412999999999
45.0,30.0,0.0,-0.12696679,-0.022015896,-0.65345932,0.020212598000000002,-0.16440674,0.014014751
45.0,30.0,5.0,-0.13034214,-0.1056544,-0.651016,-0.0138496685,-0.15902754,0.04095762
45.0,30.0,10.0,-0.12236408000000001,-0.16741751,-0.6659255799999999,-0.0379552711,-0.15956865,0.038010532
45.0,30.0,15.0,-0.10780726,-0.22772415000000001,-0.65518206,-0.09009649,-0.16140806,0.034000244
45.0,30.0,20.0,-0.101376408,-0.27074047,-0.6671745099999999,-0.099130182,-0.1877218,0.021970915
